Categories,Typique,,Atypique,,Rare,,Epique,,Legendaire,,,
Fusils à pompe automatiques,,,Fusil à pompe auto,10,Ursus,10,Harceler,10,Tigre,0,Disperseur,0
Fusils de chasse,Fusil de chasse,20,Brutaliseur,10,Briseur,10,Onde de choc,10,Foudroyant,10,,
Fusils à pompe lourds,,,,,,,Executeur,10,Bourreau,10,,
Fusils à pompe specialises,Fusils à pompe specialise,20,Chevalier,10,Croise,10,Templier,10,L’ours,0,,
Fusils à pompe tactiques,Fusils à pompe tactique,20,Puma,10,Panthère,10,,,,,,
Fusils à pompe tactiques de precision,,,,,Couguar,10,Defonceur,10,Brute,10,,
Fusils à canon superpose,,,Fusils à canon superpose,10,Agitateur,10,Bandit,10,Dissident,0,,
Fusils à pompe semi-auto,,,Fusils à pompe semi-auto,10,Dechargeur,10,etalon,10,Derouteur,0,Fossoyeur,10
27 / 32,,,,,,,,,,,,
