Categories,Typique,,Atypique,,Rare,,Epique,,Legendaire,
Fusils automatiques,Fusil d’assaut,20,Sulfatueuse,10,Fulgurant,10,Justicier,10,Pulverisateur,0
Fusils à rafale,Epatant,10,Chirurgical,10,Raseur,10,Finisseur,10,Punisseur,10
Fusils à deux coups,,,,,,,Assaillant,10,Braconnier,0
Mitrailleuses legères,,,,,Mitrailleuse legère,10,Orageuse,10,Subversive,10
Fusils semi-automatique,Fusil semi-auto,10,Fidèle,10,Perceval,10,Raptor,10,Predateur,10
Fusils à un coup,,,,,Cartoucheur,10,Pourfendeur,10,Perforateur,0
Fusils chirurgicaux,,,,,,,Lancier,10,Charon,0
Rafaleur,,,,,,,Rafaleur,10,Faucheur,10
23 / 27,,,,,,,,,,
